record_id,adult,s_adult,foal,habitat,equine_zone,total
1.90314E+11,10,3,0,Cutblock,Ghost,13
1.90314E+11,11,2,0,Cutblock,Ghost,13
1.90314E+11,3,1,0,Meadow_Shrub,Ghost,4
1.90314E+11,2,1,0,Cutblock,Ghost,3
1.90314E+11,1,1,0,Meadow_Grassland,Ghost,2
1.90314E+11,10,3,0,Meadow_Shrub,Ghost,13
1.90314E+11,6,1,0,Meadow_Shrub,Ghost,7
1.90314E+11,5,2,0,Meadow_Shrub,Ghost,7
1.90314E+11,6,4,0,Cutblock,Ghost,10
1.90314E+11,5,2,0,Cutblock,Ghost,7
1.90314E+11,1,0,0,Industrial,Ghost,1
1.90314E+11,4,2,0,Forest_Decidous,Ghost,6
1.90314E+11,6,2,0,Cutblock,Ghost,8
1.90314E+11,6,2,0,Meadow_Shrub,Ghost,8
1.90314E+11,3,0,0,Meadow_Shrub,Ghost,3
1.90314E+11,3,3,0,Meadow_Grassland,Ghost,6
1.90314E+11,2,1,0,Meadow_Grassland,Ghost,3
1.90314E+11,2,1,0,Forest_Mixedwood,Ghost,3
1.90314E+11,3,1,0,Forest_Decidous,Ghost,4
1.90314E+11,2,2,0,Meadow_Shrub,Ghost,4
1.90314E+11,1,1,0,Forest_Mixedwood,Ghost,2
1.90314E+11,3,1,0,Meadow_Riparian,Ghost,4
1.90314E+11,3,3,0,Meadow_Grassland,GHOST RIVER EQUINE ZONE,6
1.90314E+11,2,0,0,Forest_Conifer,Ghost,2
1.90314E+11,6,1,0,Forest_Conifer,Ghost,7
1.90314E+11,2,0,0,Forest_Conifer,Ghost,2
1.90314E+11,3,0,0,Forest_Conifer,Ghost,3
1.90314E+11,4,0,0,Meadow_Grassland,Ghost,4
1.90314E+11,3,1,0,Meadow_Grassland,Ghost,4
1.90314E+11,3,0,0,Cutblock,Ghost,3
1.90314E+11,6,2,0,Cutblock,Ghost,8
1.90314E+11,4,1,0,Cutblock,Ghost,5
1.90314E+11,3,2,0,Meadow_Riparian,Ghost,5
1.90314E+11,1,0,0,Meadow_Riparian,Ghost,1
1.90314E+11,4,0,0,Meadow_Riparian,Ghost,4
1.90314E+11,4,0,0,Cutblock,Ghost,4
1.90314E+11,5,1,0,Meadow_Riparian,Ghost,6
1.90314E+11,4,1,0,Cutblock,Ghost,5
1.90314E+11,3,0,0,Meadow_Grassland,GHOST RIVER EQUINE ZONE,3
1.90314E+11,2,0,0,Meadow_Grassland,Ghost,2
1.90314E+11,1,0,0,Forest_Conifer,Ghost,1
1.90314E+11,4,0,0,Cutblock,Ghost,4
1.90314E+11,1,0,0,Meadow_Shrub,Ghost,1
1.90314E+11,3,1,0,Cutblock,Ghost,4
1.90314E+11,3,0,0,Meadow_Grassland,Ghost,3
1.90314E+11,4,2,0,Cutblock,Ghost,6
1.90314E+11,4,2,0,Meadow_Grassland,Ghost,6
1.90314E+11,5,1,0,Meadow_Grassland,Ghost,6
1.90314E+11,8,3,0,Cutblock,Ghost,11
1.90314E+11,5,2,0,Cutblock,Ghost,7
1.90314E+11,2,1,0,Meadow_Grassland,Ghost,3
1.90314E+11,5,1,0,Cutblock,Ghost,6
1.90314E+11,6,0,0,Meadow_Grassland,Ghost,6
1.90314E+11,7,2,0,Meadow_Shrub,Ghost,9
1.90314E+11,3,3,0,Meadow_Grassland,Ghost,6
1.90314E+11,7,3,0,Forest_Conifer,Ghost,10
1.90314E+11,6,1,0,Cutblock,Ghost,7
1.90314E+11,4,2,0,Cutblock,Ghost,6
1.90314E+11,4,3,0,Industrial,Ghost,7
1.90314E+11,7,3,0,Cutblock,Ghost,10
1.90314E+11,7,4,0,Meadow_Grassland,Ghost,11
1.90314E+11,4,2,0,Cutblock,Ghost,6
1.90314E+11,3,0,0,Forest_Decidous,Ghost,3
1.90314E+11,7,0,0,Meadow_Grassland,Ghost,7
1.90314E+11,3,1,0,Cutblock,Ghost,4
1.90314E+11,4,0,0,Meadow_Grassland,Ghost,4
1.90314E+11,4,3,0,Forest_Mixedwood,Ghost,7
1.90314E+11,10,3,0,Meadow_Grassland,Ghost,13
1.90314E+11,3,1,0,Cutblock,Elbow,4
1.90314E+11,13,5,0,Meadow_Riparian,ELBOW RIVER EQUINE ZONE,18
1.90314E+11,5,2,0,Meadow_Riparian,Elbow,7
1.90314E+11,4,2,0,Forest_Decidous,Elbow,6
1.90314E+11,3,1,0,Cutblock,Elbow,4
1.90314E+11,6,0,0,Cutblock,Elbow,6
1.90314E+11,3,0,0,Meadow_Riparian,Elbow,3
1.90314E+11,7,2,0,Cutblock,Elbow,9
1.90314E+11,4,2,0,Cutblock,Elbow,6
1.90314E+11,3,0,0,Cutblock,Elbow,3
1.90314E+11,8,2,0,Meadow_Riparian,Elbow,10
1.90314E+11,4,0,0,Cutblock,Elbow,4
1.90314E+11,8,0,0,Forest_Mixedwood,Elbow,8
1.90314E+11,6,2,0,Industrial,SUNDRE EQUINE ZONE,8
1.90314E+11,6,0,0,Industrial,SUNDRE EQUINE ZONE,6
1.90314E+11,9,3,0,Forest_Mixedwood,SUNDRE EQUINE ZONE,12
1.90314E+11,3,0,0,Cutblock,SUNDRE EQUINE ZONE,3
1.90314E+11,6,0,0,Cutblock,SUNDRE EQUINE ZONE,6
1.90314E+11,4,0,0,Cutblock,SUNDRE EQUINE ZONE,4
1.90314E+11,3,0,0,Forest_Mixedwood,SUNDRE EQUINE ZONE,3
1.90314E+11,4,1,0,Forest_Mixedwood,SUNDRE EQUINE ZONE,5
1.90314E+11,4,2,0,Cutblock,SUNDRE EQUINE ZONE,6
1.90314E+11,3,0,0,Cutblock,SUNDRE EQUINE ZONE,3
1.90314E+11,3,0,0,Industrial,SUNDRE EQUINE ZONE,3
1.90314E+11,3,0,0,Meadow_Grassland,SUNDRE EQUINE ZONE,3
1.90314E+11,2,0,0,Meadow_Grassland,SUNDRE EQUINE ZONE,2
1.90314E+11,4,2,0,Industrial,SUNDRE EQUINE ZONE,6
1.90314E+11,12,3,1,Meadow_Riparian,SUNDRE EQUINE ZONE,16
1.90314E+11,2,1,0,Forest_Mixedwood,SUNDRE EQUINE ZONE,3
1.90314E+11,5,0,0,Meadow_Riparian,SUNDRE EQUINE ZONE,5
1.90314E+11,8,2,0,Forest_Decidous,Sundre,10
1.90314E+11,7,2,0,Cutblock,SUNDRE EQUINE ZONE,9
1.90314E+11,8,2,0,Cutblock,SUNDRE EQUINE ZONE,10
1.90314E+11,2,1,0, ,SUNDRE EQUINE ZONE,3
1.90314E+11,4,1,0,Meadow_Shrub,SUNDRE EQUINE ZONE,5
1.90314E+11,5,0,0,Meadow_Shrub,SUNDRE EQUINE ZONE,5
1.90314E+11,1,0,0,Meadow_Riparian,SUNDRE EQUINE ZONE,1
1.90314E+11,5,2,0,Meadow_Riparian,SUNDRE EQUINE ZONE,7
1.90314E+11,4,2,0,Roadside,SUNDRE EQUINE ZONE,6
1.90314E+11,14,3,0,Meadow_Riparian,SUNDRE EQUINE ZONE,17
1.90314E+11,7,2,0,Meadow_Riparian,SUNDRE EQUINE ZONE,9
