OBJECTID,RECORD_ID,WYPTID,Adult_T,SAdult_T,Foal_T,Habitat,DataDate,Comment,EquineZne,Total,Colour2
1,190314162254,1415,10,3,0,Cutblock,2019-03-05, ,Ghost,13, 
2,190314163525,1416,11,2,0,Cutblock,2019-03-05, ,Ghost,13, 
3,190314164555,1417,3,1,0,Meadow_Shrub,2019-03-05, ,Ghost,4, 
4,190314165215,1418,2,1,0,Cutblock,2019-03-05, ,Ghost,3, 
5,190315073405,1419,1,1,0,Meadow_Grassland,2019-03-05,Spotted in clearing but moved into trees by the time the photo was taken.,Ghost,2, 
6,190315080146,1420,10,3,0,Meadow_Shrub,2019-03-05, ,Ghost,13, 
7,190315080811,1421,6,1,0,Meadow_Shrub,2019-03-05, ,Ghost,7,One buckskin
8,190315082815,1422,5,2,0,Meadow_Shrub,2019-03-05, ,Ghost,7, 
9,190315083700,1423,6,4,0,Cutblock,2019-03-05,Group was scattered in conifer and open area,Ghost,10, 
10,190315085208,1424,5,2,0,Cutblock,2019-03-05, ,Ghost,7, 
11,190315092730,1425,1,0,0,Industrial,2019-03-05,On Cutline,Ghost,1, 
12,190315093006,1426,4,2,0,Forest_Decidous,2019-03-05, ,Ghost,6,One buckskin
13,190315095007,1427,6,2,0,Cutblock,2019-03-05, ,Ghost,8, 
14,190315103941,1428,6,2,0,Meadow_Shrub,2019-03-05, ,Ghost,8, 
15,190315104746,1429,3,0,0,Meadow_Shrub,2019-03-05, ,Ghost,3, 
16,190315105520,1430,3,3,0,Meadow_Grassland,2019-03-05,Grass slope habitat,Ghost,6, 
17,190315112406,1431,2,1,0,Meadow_Grassland,2019-03-05,Grass slope habitat,Ghost,3, 
18,190315112757,1433,2,1,0,Forest_Mixedwood,2019-03-05, ,Ghost,3, 
19,190315114424,1432,3,1,0,Forest_Decidous,2019-03-05,Forest/Grass slope fringe,Ghost,4,One palomino
20,190315130902,1434,2,2,0,Meadow_Shrub,2019-03-05, ,Ghost,4,Paint mare and yearling
21,190315131235,1435,1,1,0,Forest_Mixedwood,2019-03-05, ,Ghost,2, 
22,190315131521,1436,3,1,0,Meadow_Riparian,2019-03-05, ,Ghost,4, 
23,190315132527,1437,3,3,0,Meadow_Grassland,2019-03-05,In grassy area beside conifer forest.,GHOST RIVER EQUINE ZONE,6, 
24,190315135018,1439,2,0,0,Forest_Conifer,2019-03-05, ,Ghost,2, 
25,190315142436,1440,6,1,0,Forest_Conifer,2019-03-05, ,Ghost,7, 
26,190315143334,1441,2,0,0,Forest_Conifer,2019-03-05,Ended up joining with groups 1439 and 1440,Ghost,2, 
27,190315144106,1442,3,0,0,Forest_Conifer,2019-03-05, ,Ghost,3, 
28,190315145124,1444,4,0,0,Meadow_Grassland,2019-03-05, ,Ghost,4, 
29,190315145530,1445,3,1,0,Meadow_Grassland,2019-03-05, ,Ghost,4, 
30,190315151851,1446,3,0,0,Cutblock,2019-03-05,On road in cutblock,Ghost,3, 
31,190315152145,1447,6,2,0,Cutblock,2019-03-05, ,Ghost,8, 
32,190315152411,1448,4,1,0,Cutblock,2019-03-05, ,Ghost,5, 
33,190315153519,1451,3,2,0,Meadow_Riparian,2019-03-05, ,Ghost,5, 
34,190315153731,1452,1,0,0,Meadow_Riparian,2019-03-05, ,Ghost,1, 
35,190315154347,1455,4,0,0,Meadow_Riparian,2019-03-05, ,Ghost,4, 
36,190315155007,1457,4,0,0,Cutblock,2019-03-05, ,Ghost,4, 
37,190315160305,1459,5,1,0,Meadow_Riparian,2019-03-05, ,Ghost,6, 
38,190315160605,1460,4,1,0,Cutblock,2019-03-05,Horses at the base of the cutblock,Ghost,5, 
39,190315160931,1461,3,0,0,Meadow_Grassland,2019-03-05,Grass slope/open area,GHOST RIVER EQUINE ZONE,3, 
40,190315161955,1462,2,0,0,Meadow_Grassland,2019-03-05, ,Ghost,2, 
41,190315163611,1463,1,0,0,Forest_Conifer,2019-03-05, ,Ghost,1, 
42,190315163930,1464,4,0,0,Cutblock,2019-03-05, ,Ghost,4, 
43,190318073453,1465,1,0,0,Meadow_Shrub,2019-03-05, ,Ghost,1, 
44,190318073715,1466,3,1,0,Cutblock,2019-03-05, ,Ghost,4, 
45,190318073922,1467,3,0,0,Meadow_Grassland,2019-03-05, ,Ghost,3, 
46,190318074411,1468,4,2,0,Cutblock,2019-03-05, ,Ghost,6, 
47,190318074743,1469,4,2,0,Meadow_Grassland,2019-03-05, ,Ghost,6, 
48,190318075013,1471,5,1,0,Meadow_Grassland,2019-03-05,Along road clearing,Ghost,6, 
49,190318080126,1472,8,3,0,Cutblock,2019-03-05, ,Ghost,11, 
50,190318080227,1473,5,2,0,Cutblock,2019-03-05, ,Ghost,7, 
51,190318080417,1474,2,1,0,Meadow_Grassland,2019-03-05, ,Ghost,3, 
52,190318081007,1476,5,1,0,Cutblock,2019-03-05, ,Ghost,6, 
53,190318082339,1477,6,0,0,Meadow_Grassland,2019-03-05,Steep grass slope,Ghost,6, 
54,190318082652,1478,7,2,0,Meadow_Shrub,2019-03-05,Base of cutblock,Ghost,9, 
55,190318083013,1479,3,3,0,Meadow_Grassland,2019-03-05, ,Ghost,6, 
56,190318083224,1481,7,3,0,Forest_Conifer,2019-03-05, ,Ghost,10, 
57,190318083424,1482,6,1,0,Cutblock,2019-03-05, ,Ghost,7, 
58,190318083621,1483,4,2,0,Cutblock,2019-03-05, ,Ghost,6, 
59,190318083932,1484,4,3,0,Industrial,2019-03-05,Gravel Pit,Ghost,7, 
60,190318084257,1485,7,3,0,Cutblock,2019-03-05, ,Ghost,10, 
61,190318085244,1486,7,4,0,Meadow_Grassland,2019-03-05, ,Ghost,11, 
62,190318085521,1487,4,2,0,Cutblock,2019-03-05, ,Ghost,6, 
63,190318090306,1488,3,0,0,Forest_Decidous,2019-03-05, ,Ghost,3, 
64,190318090745,1490,7,0,0,Meadow_Grassland,2019-03-05, ,Ghost,7, 
65,190318090954,1491,3,1,0,Cutblock,2019-03-05, ,Ghost,4, 
66,190318091944,1498,4,0,0,Meadow_Grassland,2019-03-05,Grass slope.,Ghost,4,"One paint, one buckskin"
67,190318092231,1499,4,3,0,Forest_Mixedwood,2019-03-05, ,Ghost,7, 
68,190318092521,1502,10,3,0,Meadow_Grassland,2019-03-05, ,Ghost,13, 
69,190318132140,627,3,1,0,Cutblock,2019-01-10, ,Elbow,4, 
70,190318132611,628,13,5,0,Meadow_Riparian,2019-01-10, ,ELBOW RIVER EQUINE ZONE,18, 
71,190318132921,629,5,2,0,Meadow_Riparian,2019-01-10, ,Elbow,7, 
72,190318133148,631,4,2,0,Forest_Decidous,2019-01-10, ,Elbow,6, 
73,190318133447,632,3,1,0,Cutblock,2019-01-10, ,Elbow,4, 
74,190318134848,633,6,0,0,Cutblock,2019-01-10, ,Elbow,6, 
75,190318135100,634,3,0,0,Meadow_Riparian,2019-01-10, ,Elbow,3, 
76,190318135410,635,7,2,0,Cutblock,2019-01-10, ,Elbow,9, 
77,190318140019,635,4,2,0,Cutblock,2019-01-10, ,Elbow,6, 
78,190318140253,636,3,0,0,Cutblock,2019-01-10, ,Elbow,3, 
79,190318140423,637,8,2,0,Meadow_Riparian,2019-01-10, ,Elbow,10, 
80,190318141107,638,4,0,0,Cutblock,2019-01-10, ,Elbow,4, 
81,190318141328,638,8,0,0,Forest_Mixedwood,2019-01-10, ,Elbow,8, 
82,190318151221,1146,6,2,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
83,190318151427,1149,6,0,0,Industrial,2019-02-26,Cutline,SUNDRE EQUINE ZONE,6, 
84,190318151631,1150,9,3,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,12, 
85,190318151750,1151,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
86,190318152011,1152,6,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
87,190318152228,1154,4,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
88,190318152402,1157,3,0,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
89,190318152607,1158,4,1,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
90,190318152829,1160,4,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
91,190318153155,1161,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
92,190318153405,1162,3,0,0,Industrial,2019-02-26,On cutline,SUNDRE EQUINE ZONE,3, 
93,190318153533,1163,3,0,0,Meadow_Grassland,2019-02-26,Grass opening in forest,SUNDRE EQUINE ZONE,3, 
94,190318153751,1164,2,0,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
95,190318153921,1166,4,2,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
96,190318154057,1168,12,3,1,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,16, 
97,190318154248,1169,2,1,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
98,190318154350,1170,5,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
99,190322163302,1322,8,2,0,Forest_Decidous,2019-02-28, ,Sundre,10, 
100,190322164411,1323,7,2,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,9, 
101,190322164630,1324,8,2,0,Cutblock,2019-02-28,Along cutblock road,SUNDRE EQUINE ZONE,10, 
