OBJECTID,Adult_T,SAdult_T,Foal_T,Habitat,DataDate,EquineZne,Total,Colour2
105,1,0,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,1, 
106,5,2,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,7, 
107,4,2,0,Roadside,2019-02-28,SUNDRE EQUINE ZONE,6, 
108,14,3,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,17, 
109,7,2,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,9, 
110,1,0,0,Meadow_Grassland,2019-02-28,SUNDRE EQUINE ZONE,1, 
111,2,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,2, 
112,4,2,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,6, 
113,5,0,0,Meadow_Grassland,2019-02-28,SUNDRE EQUINE ZONE,5, 
114,13,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,13, 
115,3,0,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,3, 
116,5,1,0,Forest_Conifer,2019-02-28,SUNDRE EQUINE ZONE,6, 
117,7,2,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,9, 
118,8,1,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,9, 
119,3,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,3, 
120,5,1,0,Meadow_Shrub,2019-02-28,CLEARWATER EQUINE ZONE,6, 
121,3,1,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,4, 
122,2,1,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,3, 
123,11,3,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,14, 
124,11,0,0,Meadow_Grassland,2019-02-28,SUNDRE EQUINE ZONE,11, 
125,6,1,0,Meadow_Shrub,2019-02-28,CLEARWATER EQUINE ZONE,7, 
126,3,0,0,Meadow_Shrub,2019-02-28,CLEARWATER EQUINE ZONE,3, 
127,3,2,0,Meadow_Grassland,2019-02-28,CLEARWATER EQUINE ZONE,5, 
128,3,1,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,4, 
129,2,2,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,4, 
130,4,0,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,4, 
131,4,1,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,5, 
132,2,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,2, 
133,3,0,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,3, 
134,3,1,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,4, 
135,7,1,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,8, 
136,3,2,0,Meadow_Riparian,2019-02-28,CLEARWATER EQUINE ZONE,5, 
137,4,2,0,Forest_Conifer,2019-02-28,CLEARWATER EQUINE ZONE,6, 
138,3,1,0,Forest_Conifer,2019-02-28,SUNDRE EQUINE ZONE,4, 
139,8,2,0,Meadow_Grassland,2019-02-28,SUNDRE EQUINE ZONE,10, 
140,4,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,4, 
141,3,0,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,3, 
142,8,2,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,10, 
143,6,3,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,9, 
144,2,1,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,3, 
145,1,0,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,1, 
146,3,2,0,Roadside,2019-02-28,CLEARWATER EQUINE ZONE,5, 
147,2,2,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,4, 
148,2,0,0,Roadside,2019-02-28,CLEARWATER EQUINE ZONE,2, 
149,6,3,0,Roadside,2019-02-28,CLEARWATER EQUINE ZONE,9, 
150,8,4,0,Industrial,2019-02-28,CLEARWATER EQUINE ZONE,12, 
151,5,2,0,Forest_Mixedwood,2019-02-28,CLEARWATER EQUINE ZONE,7, 
152,3,1,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,4, 
153,2,1,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,3, 
154,5,2,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,7, 
155,7,3,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,10, 
156,11,4,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,15, 
157,10,2,0,Industrial,2019-02-28,SUNDRE EQUINE ZONE,12, 
158,2,0,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,2, 
159,5,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
160,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
